Размер матриц (элементов),Классический,Винограда,Винограда (опт.),Штрассена
1,1.450e+03,1.901e+03,1.744e+03,9.336e+02
2,8.276e+03,1.608e+03,1.547e+03,3.763e+04
3,1.982e+03,2.029e+03,8.540e+03,3.217e+04
4,2.301e+03,2.287e+03,2.379e+03,2.461e+05
5,3.462e+03,2.872e+03,9.042e+03,2.432e+05
6,4.472e+03,3.498e+03,3.491e+03,2.451e+05
7,5.536e+03,4.353e+03,4.368e+03,2.541e+05
8,1.321e+04,5.063e+03,5.047e+03,1.815e+06
9,1.360e+04,5.848e+03,6.764e+03,1.785e+06
10,1.138e+04,7.052e+03,1.317e+04,1.828e+06
